hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
6,10,80020038,特急,高尾山口,３,06:10,2025-08-24T06:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T06:10:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-24T06:15:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-24T06:17:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-24T06:22:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-24T06:29:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-24T06:36:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-24T06:38:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-24T06:41:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-24T06:45:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T06:51:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-24T06:53:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-24T06:55:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-24T06:57:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-24T06:59:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T07:01:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T07:04:00+09:00""}]"
7,3,80020281,特急,高尾山口,３,07:03,2025-08-20T07:03:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-20T07:03:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-20T07:09:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-20T07:13:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-20T07:18:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-20T07:25:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-20T07:32:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-20T07:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-20T07:37:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-20T07:41:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-20T07:47:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-20T07:49:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-20T07:51:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-20T07:53:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-20T07:55:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-20T07:58:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-20T08:00:00+09:00""}]"
7,9,80020039,特急,高尾山口,３,07:09,2025-08-24T07:09:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T07:09:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-24T07:14:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-24T07:17:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-24T07:22:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-24T07:28:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-24T07:34:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-24T07:36:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-24T07:39:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-24T07:43:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T07:49:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-24T07:51:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-24T07:53:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-24T07:55:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-24T07:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T07:59:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T08:02:00+09:00""}]"
7,28,8002003a,特急,高尾山口,３,07:28,2025-08-24T07:28:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T07:28:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-24T07:34:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-24T07:36:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-24T07:42:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-24T07:48:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-24T07:54:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-24T07:56:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-24T07:59:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-24T08:03:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T08:09:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-24T08:12:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-24T08:14:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-24T08:15:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-24T08:17:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T08:20:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T08:22:00+09:00""}]"
8,10,8002003b,特急,高尾山口,３,08:10,2025-08-24T08:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T08:10:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-24T08:15:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-24T08:18:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-24T08:22:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-24T08:30:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-24T08:36:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-24T08:38:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-24T08:41:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-24T08:46:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T08:52:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-24T08:54:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-24T08:56:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-24T08:58:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-24T09:00:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T09:05:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T09:07:00+09:00""}]"
8,10,80020282,特急,高尾山口,３,08:10,2025-08-20T08:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-20T08:10:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-20T08:16:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-20T08:19:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-20T08:26:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-20T08:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-20T08:42:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-20T08:44:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-20T08:47:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-20T08:51:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-20T08:58:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-20T09:00:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-20T09:02:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-20T09:04:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-20T09:06:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-20T09:09:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-20T09:11:00+09:00""}]"
8,56,80020283,特急,高尾山口,３,08:56,2025-08-20T08:56:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-20T08:56:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-20T09:01:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-20T09:04:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-20T09:11:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-20T09:19:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-20T09:29:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-20T09:31:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-20T09:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-20T09:41:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-20T09:48:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-20T09:51:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-20T09:53:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-20T09:55:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-20T09:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-20T09:59:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-20T10:02:00+09:00""}]"
9,16,80020284,特急,高尾山口,３,09:16,2025-08-20T09:16:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-20T09:16:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-20T09:21:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-20T09:23:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-20T09:29:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-20T09:38:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-20T09:47:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-20T09:49:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-20T09:52:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-20T09:56:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-20T10:03:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-20T10:05:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-20T10:07:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-20T10:09:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-20T10:10:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-20T10:13:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-20T10:16:00+09:00""}]"
9,28,8002003c,特急,高尾山口,３,09:28,2025-08-24T09:28:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T09:28:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-24T09:33:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-24T09:36:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-24T09:41:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-24T09:49:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-24T09:56:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-24T09:58:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-24T10:01:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-24T10:06:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T10:12:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-24T10:14:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-24T10:16:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-24T10:18:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-24T10:20:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T10:22:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T10:25:00+09:00""}]"
9,48,80020285,特急,高尾山口,３,09:48,2025-08-20T09:48:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-20T09:48:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-20T09:53:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-20T09:56:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-20T10:02:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-20T10:10:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-20T10:16:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-20T10:18:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-20T10:21:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-20T10:25:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-20T10:32:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-20T10:34:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-20T10:36:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-20T10:38:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-20T10:40:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-20T10:42:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-20T10:45:00+09:00""}]"
