hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
6,51,80040000,特急,高尾山口,１,06:51,2025-08-23T06:51:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-23T06:10:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-23T06:15:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-23T06:17:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-23T06:22:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-23T06:29:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-23T06:36:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-23T06:38:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-23T06:41:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-23T06:45:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-23T06:51:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-23T06:53:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-23T06:55:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-23T06:57:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-23T06:59:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-23T07:01:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-23T07:04:00+09:00""}]"
7,47,80040070,特急,高尾山口,１,07:47,2025-08-25T07:47:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-25T07:03:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-25T07:09:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-25T07:13:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-25T07:18:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-25T07:25:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-25T07:32:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-25T07:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-25T07:37:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-25T07:41:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-25T07:47:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-25T07:49:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-25T07:51:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-25T07:53:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-25T07:55:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T07:58:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-25T08:00:00+09:00""}]"
7,49,80040001,特急,高尾山口,１,07:49,2025-08-23T07:49:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-23T07:09:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-23T07:14:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-23T07:17:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-23T07:22:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-23T07:28:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-23T07:34:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-23T07:36:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-23T07:39:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-23T07:43:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-23T07:49:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-23T07:51:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-23T07:53:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-23T07:55:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-23T07:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-23T07:59:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-23T08:02:00+09:00""}]"
8,9,80040002,特急,高尾山口,１,08:09,2025-08-23T08:09:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-23T07:28:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-23T07:34:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-23T07:36:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-23T07:42:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-23T07:48:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-23T07:54:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-23T07:56:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-23T07:59:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-23T08:03:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-23T08:09:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-23T08:12:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-23T08:14:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-23T08:15:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-23T08:17:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-23T08:20:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-23T08:22:00+09:00""}]"
8,52,80040003,特急,高尾山口,１,08:52,2025-08-23T08:52:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-23T08:10:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-23T08:15:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-23T08:18:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-23T08:22:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-23T08:30:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-23T08:36:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-23T08:38:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-23T08:41:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-23T08:46:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-23T08:52:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-23T08:54:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-23T08:56:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-23T08:58:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-23T09:00:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-23T09:05:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-23T09:07:00+09:00""}]"
8,58,80040071,特急,高尾山口,１,08:58,2025-08-25T08:58:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-25T08:10:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-25T08:16:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-25T08:19:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-25T08:26:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-25T08:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-25T08:42:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-25T08:44:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-25T08:47:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-25T08:51:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-25T08:58:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-25T09:00:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-25T09:02:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-25T09:04:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-25T09:06:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T09:09:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-25T09:11:00+09:00""}]"
9,48,80040072,特急,高尾山口,１,09:48,2025-08-25T09:48:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-25T08:56:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-25T09:01:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-25T09:04:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-25T09:11:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-25T09:19:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-25T09:29:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-25T09:31:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-25T09:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-25T09:41:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-25T09:48:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-25T09:51:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-25T09:53:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-25T09:55:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-25T09:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T09:59:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-25T10:02:00+09:00""}]"
10,3,80040073,特急,高尾山口,１,10:03,2025-08-25T10:03:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-25T09:16:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-25T09:21:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-25T09:23:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-25T09:29:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-25T09:38:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-25T09:47:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-25T09:49:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-25T09:52:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-25T09:56:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-25T10:03:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-25T10:05:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-25T10:07:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-25T10:09:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-25T10:10:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T10:13:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-25T10:16:00+09:00""}]"
10,12,80040004,特急,高尾山口,１,10:12,2025-08-23T10:12:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-23T09:28:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-23T09:33:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-23T09:36:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-23T09:41:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-23T09:49:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-23T09:56:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-23T09:58:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-23T10:01:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-23T10:06:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-23T10:12:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-23T10:14:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-23T10:16:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-23T10:18:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-23T10:20:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-23T10:22:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-23T10:25:00+09:00""}]"
10,32,80040074,特急,高尾山口,１,10:32,2025-08-25T10:32:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-25T09:48:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-25T09:53:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-25T09:56:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-25T10:02:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-25T10:10:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-25T10:16:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-25T10:18:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-25T10:21:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-25T10:25:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""北野"", ""time"": ""2025-08-25T10:32:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-25T10:34:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-25T10:36:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-25T10:38:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-25T10:40:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T10:42:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-25T10:45:00+09:00""}]"
