hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
6,10,80020038,特急,高尾山口,３,06:10,2025-08-24T06:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T06:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T06:51:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T07:01:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T07:04:00+09:00""}]"
7,9,80020039,特急,高尾山口,３,07:09,2025-08-24T07:09:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T07:09:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T07:49:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T07:59:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T08:02:00+09:00""}]"
7,28,8002003a,特急,高尾山口,３,07:28,2025-08-24T07:28:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T07:28:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T08:09:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T08:20:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T08:22:00+09:00""}]"
8,10,8002003b,特急,高尾山口,３,08:10,2025-08-24T08:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T08:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T08:52:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T09:05:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T09:07:00+09:00""}]"
9,28,8002003c,特急,高尾山口,３,09:28,2025-08-24T09:28:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T09:28:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T10:12:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T10:22:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T10:25:00+09:00""}]"
10,0,80020235,Mt.TAKAO号,高尾山口,２,10:00,2025-08-24T10:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T10:00:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T10:46:00+09:00""}]"
10,9,8002003d,特急,高尾山口,３,10:09,2025-08-24T10:09:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T10:09:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T10:52:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T11:03:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T11:06:00+09:00""}]"
10,30,8002003e,特急,高尾山口,３,10:30,2025-08-24T10:30:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T10:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T11:11:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T11:22:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T11:24:00+09:00""}]"
11,0,80020236,Mt.TAKAO号,高尾山口,２,11:00,2025-08-24T11:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T11:00:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T11:45:00+09:00""}]"
11,10,8002003f,特急,高尾山口,３,11:10,2025-08-24T11:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-24T11:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-24T11:52:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-24T12:03:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-08-24T12:05:00+09:00""}]"
