hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
4,44,0002022b,特急,新宿,３,04:44,2025-08-25T04:44:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T04:42:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T04:44:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T05:22:00+09:00""}]"
5,46,0002025d,特急,新宿,３,05:46,2025-08-25T05:46:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-25T05:33:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T05:35:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T05:46:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T06:23:00+09:00""}]"
5,51,0002048e,京王ライナー,新宿,３,05:51,2025-08-25T05:51:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T05:47:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T05:51:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T06:29:00+09:00""}]"
6,6,0002048f,京王ライナー,新宿,３,06:06,2025-08-25T06:06:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T06:03:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T06:06:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T06:48:00+09:00""}]"
6,12,0002025e,特急,新宿,３,06:12,2025-08-25T06:12:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-25T05:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T05:59:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T06:12:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T06:56:00+09:00""}]"
6,21,0002022d,特急,新宿,３,06:21,2025-08-25T06:21:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T06:18:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T06:21:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T07:08:00+09:00""}]"
6,30,00020490,京王ライナー,新宿,３,06:30,2025-08-25T06:30:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T06:27:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T06:30:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T07:13:00+09:00""}]"
6,33,0002022e,特急,新宿,３,06:33,2025-08-25T06:33:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T06:31:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T06:33:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T07:18:00+09:00""}]"
6,43,00020495,京王ライナー,新宿,３,06:43,2025-08-25T06:43:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-25T06:30:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T06:33:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T06:43:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T07:25:00+09:00""}]"
6,47,0002025f,特急,新宿,３,06:47,2025-08-25T06:47:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-25T06:32:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T06:36:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T06:47:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T07:36:00+09:00""}]"
7,34,00020260,特急,新宿,３,07:34,2025-08-25T07:34:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-25T07:20:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T07:23:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T07:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T08:27:00+09:00""}]"
7,49,0002022f,特急,新宿,３,07:49,2025-08-25T07:49:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T07:46:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T07:49:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T08:43:00+09:00""}]"
7,50,00020491,京王ライナー,新宿,３,07:50,2025-08-25T07:50:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T07:48:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T07:50:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T08:39:00+09:00""}]"
8,10,00020230,特急,新宿,３,08:10,2025-08-25T08:10:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T08:07:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T08:10:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T08:59:00+09:00""}]"
8,22,00020261,特急,新宿,３,08:22,2025-08-25T08:22:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-25T08:06:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-25T08:09:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T08:22:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:16:00+09:00""}]"
8,29,00020231,特急,新宿,３,08:29,2025-08-25T08:29:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T08:27:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T08:29:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:21:00+09:00""}]"
8,33,00020492,京王ライナー,新宿,３,08:33,2025-08-25T08:33:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T08:31:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T08:33:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:19:00+09:00""}]"
8,43,00020232,特急,新宿,３,08:43,2025-08-25T08:43:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T08:38:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T08:43:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:27:00+09:00""}]"
8,48,00020493,京王ライナー,新宿,３,08:48,2025-08-25T08:48:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T08:46:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T08:48:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:36:00+09:00""}]"
8,54,00020233,特急,新宿,３,08:54,2025-08-25T08:54:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T08:49:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T08:54:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:38:00+09:00""}]"
9,4,00020234,特急,新宿,３,09:04,2025-08-25T09:04:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T09:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T09:04:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:56:00+09:00""}]"
9,9,00020494,京王ライナー,新宿,３,09:09,2025-08-25T09:09:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T09:07:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T09:09:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T09:55:00+09:00""}]"
9,19,00020235,特急,新宿,３,09:19,2025-08-25T09:19:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T09:17:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T09:19:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T10:03:00+09:00""}]"
9,31,00020236,特急,新宿,３,09:31,2025-08-25T09:31:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-08-25T09:29:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-25T09:31:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-25T10:13:00+09:00""}]"
