hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
5,29,80020000,特急,京王八王子,３,05:29,2025-08-31T05:29:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T05:29:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T06:07:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T06:10:00+09:00""}]"
6,30,80020002,特急,京王八王子,３,06:30,2025-08-31T06:30:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T06:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T07:09:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T07:11:00+09:00""}]"
6,50,80020004,特急,京王八王子,３,06:50,2025-08-31T06:50:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T06:50:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T07:29:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T07:32:00+09:00""}]"
7,0,80020006,特急,京王八王子,３,07:00,2025-08-31T07:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T07:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T07:39:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T07:41:00+09:00""}]"
7,19,80020008,特急,京王八王子,３,07:19,2025-08-31T07:19:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T07:19:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T07:59:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T08:01:00+09:00""}]"
7,39,8002000a,特急,京王八王子,３,07:39,2025-08-31T07:39:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T07:39:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T08:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T08:23:00+09:00""}]"
7,47,8002000c,特急,京王八王子,３,07:47,2025-08-31T07:47:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T07:47:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T08:31:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T08:33:00+09:00""}]"
8,1,8002000d,特急,京王八王子,３,08:01,2025-08-31T08:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T08:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T08:43:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T08:45:00+09:00""}]"
8,20,8002000e,特急,京王八王子,３,08:20,2025-08-31T08:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T08:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T08:59:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T09:02:00+09:00""}]"
8,30,8002000f,特急,京王八王子,３,08:30,2025-08-31T08:30:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T08:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T09:09:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T09:12:00+09:00""}]"
8,39,80020010,特急,京王八王子,３,08:39,2025-08-31T08:39:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T08:39:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T09:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T09:23:00+09:00""}]"
8,50,80020011,特急,京王八王子,３,08:50,2025-08-31T08:50:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T08:50:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T09:30:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T09:33:00+09:00""}]"
9,1,80020012,特急,京王八王子,３,09:01,2025-08-31T09:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T09:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T09:42:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T09:45:00+09:00""}]"
9,10,80020013,特急,京王八王子,３,09:10,2025-08-31T09:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T09:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T09:52:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T09:55:00+09:00""}]"
9,20,80020014,特急,京王八王子,３,09:20,2025-08-31T09:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T09:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T10:03:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T10:06:00+09:00""}]"
9,37,80020015,特急,京王八王子,３,09:37,2025-08-31T09:37:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T09:37:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T10:21:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T10:24:00+09:00""}]"
9,48,80020016,特急,京王八王子,３,09:48,2025-08-31T09:48:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T09:48:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T10:31:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T10:34:00+09:00""}]"
10,1,80020017,特急,京王八王子,３,10:01,2025-08-31T10:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T10:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T10:43:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T10:46:00+09:00""}]"
10,20,80020018,特急,京王八王子,３,10:20,2025-08-31T10:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T10:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T11:02:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T11:05:00+09:00""}]"
10,39,80020019,特急,京王八王子,３,10:39,2025-08-31T10:39:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T10:39:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T11:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T11:23:00+09:00""}]"
10,49,8002001a,特急,京王八王子,３,10:49,2025-08-31T10:49:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T10:49:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T11:30:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T11:32:00+09:00""}]"
11,1,8002001b,特急,京王八王子,３,11:01,2025-08-31T11:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T11:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T11:42:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T11:45:00+09:00""}]"
11,20,8002001c,特急,京王八王子,３,11:20,2025-08-31T11:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T11:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T12:03:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T12:06:00+09:00""}]"
11,40,8002001d,特急,京王八王子,３,11:40,2025-08-31T11:40:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T11:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T12:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T12:23:00+09:00""}]"
12,0,8002001e,特急,京王八王子,３,12:00,2025-08-31T12:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T12:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T12:40:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T12:43:00+09:00""}]"
12,20,8002001f,特急,京王八王子,３,12:20,2025-08-31T12:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T12:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T13:01:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T13:03:00+09:00""}]"
12,40,80020020,特急,京王八王子,３,12:40,2025-08-31T12:40:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T12:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T13:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T13:23:00+09:00""}]"
13,0,80020021,特急,京王八王子,３,13:00,2025-08-31T13:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T13:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T13:39:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T13:42:00+09:00""}]"
13,20,80020022,特急,京王八王子,３,13:20,2025-08-31T13:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T13:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T14:00:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T14:03:00+09:00""}]"
13,40,80020023,特急,京王八王子,３,13:40,2025-08-31T13:40:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T13:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T14:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T14:23:00+09:00""}]"
14,0,80020024,特急,京王八王子,３,14:00,2025-08-31T14:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T14:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T14:41:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T14:44:00+09:00""}]"
14,20,80020025,特急,京王八王子,３,14:20,2025-08-31T14:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T14:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T15:00:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T15:03:00+09:00""}]"
14,38,80020026,特急,京王八王子,３,14:38,2025-08-31T14:38:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T14:38:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T15:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T15:23:00+09:00""}]"
14,55,80020027,特急,京王八王子,３,14:55,2025-08-31T14:55:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T14:55:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T15:39:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T15:41:00+09:00""}]"
15,16,80020028,特急,京王八王子,３,15:16,2025-08-31T15:16:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T15:16:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T15:58:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T16:01:00+09:00""}]"
15,29,80020029,特急,京王八王子,３,15:29,2025-08-31T15:29:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T15:29:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T16:10:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T16:12:00+09:00""}]"
15,38,8002002a,特急,京王八王子,３,15:38,2025-08-31T15:38:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T15:38:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T16:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T16:23:00+09:00""}]"
15,48,8002002b,特急,京王八王子,３,15:48,2025-08-31T15:48:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T15:48:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T16:31:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T16:34:00+09:00""}]"
15,55,8002002c,特急,京王八王子,３,15:55,2025-08-31T15:55:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T15:55:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T16:39:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T16:41:00+09:00""}]"
16,16,8002002d,特急,京王八王子,３,16:16,2025-08-31T16:16:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T16:16:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T17:01:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T17:03:00+09:00""}]"
16,38,8002002e,特急,京王八王子,３,16:38,2025-08-31T16:38:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T16:38:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T17:19:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T17:21:00+09:00""}]"
16,56,8002002f,特急,京王八王子,３,16:56,2025-08-31T16:56:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T16:56:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T17:40:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T17:42:00+09:00""}]"
17,15,80020030,特急,京王八王子,３,17:15,2025-08-31T17:15:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T17:15:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T17:58:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T18:00:00+09:00""}]"
17,38,80020031,特急,京王八王子,３,17:38,2025-08-31T17:38:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T17:38:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T18:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T18:22:00+09:00""}]"
17,55,80020032,特急,京王八王子,３,17:55,2025-08-31T17:55:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T17:55:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T18:38:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T18:41:00+09:00""}]"
18,16,80020033,特急,京王八王子,３,18:16,2025-08-31T18:16:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T18:16:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T18:58:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T19:00:00+09:00""}]"
18,36,80020034,特急,京王八王子,３,18:36,2025-08-31T18:36:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T18:36:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T19:18:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T19:21:00+09:00""}]"
18,56,80020035,特急,京王八王子,３,18:56,2025-08-31T18:56:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T18:56:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T19:38:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T19:40:00+09:00""}]"
