hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
0,14,80040069,各駅停車,高尾山口,１,00:14,2025-09-01T00:14:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-01T00:14:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T00:25:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T00:27:00+09:00""}]"
0,15,800400d9,各駅停車,高尾山口,１,00:15,2025-09-02T00:15:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-02T00:15:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-02T00:25:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-02T00:28:00+09:00""}]"
0,32,8004006a,各駅停車,高尾山口,１,00:32,2025-09-01T00:32:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-01T00:32:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T00:42:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T00:44:00+09:00""}]"
0,32,800400da,各駅停車,高尾山口,１,00:32,2025-09-02T00:32:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-02T00:32:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-02T00:42:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-02T00:44:00+09:00""}]"
5,13,800400bf,各駅停車,高尾山口,１,05:13,2025-09-01T05:13:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-01T05:13:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T05:23:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T05:26:00+09:00""}]"
5,36,800400c0,各駅停車,高尾山口,１,05:36,2025-09-01T05:36:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-01T05:36:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T05:46:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T05:49:00+09:00""}]"
6,0,800400c2,各駅停車,高尾山口,１,06:00,2025-09-01T06:00:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-01T06:00:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T06:10:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T06:13:00+09:00""}]"
6,13,800400c3,各駅停車,高尾山口,１,06:13,2025-09-01T06:13:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-01T06:13:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T06:24:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T06:26:00+09:00""}]"
6,23,80040088,各駅停車,高尾山口,１,06:23,2025-09-01T06:23:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-01T05:19:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-01T06:23:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T06:35:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T06:38:00+09:00""}]"
6,36,800400c4,各駅停車,高尾山口,１,06:36,2025-09-01T06:36:00+09:00,"[{""station"": ""北野"", ""time"": ""2025-09-01T06:36:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T06:46:00+09:00""}, {""station"": ""高尾山口"", ""time"": ""2025-09-01T06:49:00+09:00""}]"
